#10000.000  0.800  30.000  10.000  0.700  0.000  25.000  2.000  0.700  1.000  25.000  2.000  0.700  0.900  25.000  2.000  3.000  1.000  1.000  1.000  10.000  0.000  1.000  201.000  0.000  9500.000  0.000  0.000  1.000  0.100  0.010  0.000  0.000  0.000  0.000  0.000  10.000  
t,x,xf,xr,xb,tjs,C,fundt,ben,buy
206,31.53,27.98,23.07,25.36,58,286.57,25.36,572.80,1
207,31.66,23.10,24.74,23.99,57,284.45,49.34,578.53,0
208,28.22,25.40,24.55,24.14,56,287.48,73.48,584.31,0
209,28.84,24.67,23.78,22.17,55,288.29,95.65,590.16,0
210,39.22,28.73,25.39,19.34,54,289.98,114.99,596.06,0
211,38.61,27.76,24.79,22.71,53,287.38,137.70,602.02,0
212,33.76,28.85,25.76,24.29,52,285.59,162.00,608.04,0
213,31.06,23.87,25.57,23.02,51,282.41,185.01,614.12,0
214,31.95,25.28,26.28,23.78,50,284.40,208.79,620.26,0
215,33.11,27.44,26.63,25.96,49,285.04,234.75,626.46,0
216,28.36,24.43,25.38,24.77,48,283.36,259.51,632.73,0
217,29.06,23.72,26.42,22.97,47,284.82,282.48,639.05,0
218,24.35,22.03,25.94,21.84,46,287.21,17.11,645.45,1
219,26.65,21.45,25.28,22.82,45,291.70,39.94,651.90,0
220,31.39,26.51,24.80,23.62,44,297.27,63.55,658.42,0
221,32.17,27.37,25.91,21.97,43,297.84,85.52,665.00,0
222,33.42,26.71,25.93,23.16,42,297.52,108.69,671.65,0
223,31.73,27.15,24.93,21.94,41,297.89,130.62,678.37,0
224,29.64,25.32,23.55,22.99,40,297.82,153.61,685.15,0
225,29.04,26.63,23.27,25.21,39,299.75,178.83,692.00,0
226,27.56,18.52,22.59,24.45,38,300.43,203.27,698.92,0
227,28.96,24.03,22.32,24.10,37,310.10,227.37,705.91,0
228,30.36,26.12,22.51,23.76,36,314.68,251.14,712.97,0
229,32.19,26.43,23.70,25.65,35,317.41,276.79,720.10,0
230,34.47,25.33,23.32,24.44,34,320.08,301.23,727.30,0
231,34.69,30.67,24.28,25.29,33,324.23,2.29,734.58,1
232,31.65,25.10,25.01,27.69,32,322.91,29.98,741.92,0
233,33.88,30.09,25.34,26.02,31,327.59,56.00,749.34,0
234,39.25,31.19,25.67,25.71,30,327.25,81.71,756.84,0
235,40.87,30.23,25.86,25.54,29,325.67,107.25,764.40,0
236,39.51,34.13,25.93,26.02,28,324.99,133.27,772.05,0
237,35.74,30.25,25.95,25.20,27,319.94,158.47,779.77,0
238,35.53,29.45,25.45,27.44,26,318.66,185.90,787.57,0
239,32.47,29.28,24.50,25.37,25,318.14,211.28,795.44,0
240,36.07,32.50,26.10,26.60,24,317.75,237.87,803.40,0
241,32.58,25.64,24.21,25.37,23,313.77,263.24,811.43,0
242,38.18,30.00,24.74,27.67,22,316.94,290.91,819.54,0
243,41.06,32.72,23.75,29.78,21,315.64,5.06,827.74,1
244,44.66,35.46,25.26,28.07,20,311.21,33.13,836.02,0
245,37.88,29.37,25.78,25.88,19,303.33,59.01,844.38,0
246,40.82,33.00,26.29,26.97,18,301.36,85.98,852.82,0
247,37.19,33.01,25.71,27.03,17,295.19,113.01,861.35,0
248,35.38,30.09,24.64,27.81,16,288.39,140.82,869.96,0
249,28.29,19.78,24.25,29.34,15,284.13,170.16,878.66,0
250,25.37,22.31,24.78,27.03,14,290.79,197.19,887.45,0
251,33.27,29.69,24.94,26.83,13,295.33,224.03,896.32,0
252,37.14,30.12,24.88,25.78,12,292.20,249.81,905.29,0
253,38.31,29.24,25.22,24.32,11,288.29,274.13,914.34,0
254,33.31,28.81,24.45,26.78,10,284.96,300.91,923.48,0
255,29.79,24.67,24.53,27.03,9,281.76,327.94,932.72,0
256,29.88,22.97,24.11,23.68,8,282.81,351.62,942.05,0
257,33.10,21.82,25.95,24.81,7,285.82,376.43,951.47,0
258,37.14,28.81,23.92,25.45,6,290.41,111.48,960.98,1
259,37.38,27.92,22.22,26.07,5,287.76,137.55,970.59,0
260,37.26,29.19,22.03,25.59,4,285.83,163.14,980.30,0
261,34.58,34.42,21.72,25.42,3,282.30,188.56,990.10,0
262,32.93,26.63,22.76,23.78,2,272.66,212.33,1000.00,0
263,30.17,26.11,25.35,23.16,1,270.64,235.49,1010.00,0
264,30.67,27.74,23.40,24.46,1,269.82,259.95,1010.00,0
265,28.72,26.53,25.77,24.74,1,271.06,284.69,1010.00,0
266,29.13,22.59,23.76,25.50,1,269.82,310.18,1010.00,0
267,32.47,23.60,23.71,22.90,1,270.67,333.08,1010.00,0
268,25.71,23.24,24.52,22.51,1,271.66,355.59,1010.00,0
269,22.36,19.01,25.75,23.61,1,271.85,379.20,1010.00,0
270,22.63,20.35,25.33,22.52,1,270.71,401.72,1010.00,0
271,25.59,24.54,24.86,23.70,1,269.92,425.42,1010.00,0
272,19.89,17.01,24.61,22.50,1,269.57,447.92,1010.00,0
273,21.79,19.76,23.52,22.94,80,277.41,470.86,460.19,0
274,28.40,20.13,24.01,23.15,79,283.41,494.01,464.79,0
275,32.49,27.75,24.85,24.35,78,289.61,228.75,469.44,1
276,30.57,26.22,23.84,26.41,77,288.05,255.15,474.13,0
